"GEOID","NAME","Population"
"17031630200","Census Tract 6302, Cook County, Illinois",1825
"17031580700","Census Tract 5807, Cook County, Illinois",5908
"17031590600","Census Tract 5906, Cook County, Illinois",3419
"17031600700","Census Tract 6007, Cook County, Illinois",2835
"17031611900","Census Tract 6119, Cook County, Illinois",1639
"17031804505","Census Tract 8045.05, Cook County, Illinois",3445
"17031804701","Census Tract 8047.01, Cook County, Illinois",6122
"17031804706","Census Tract 8047.06, Cook County, Illinois",2441
"17031824005","Census Tract 8240.05, Cook County, Illinois",5749
"17031824006","Census Tract 8240.06, Cook County, Illinois",4728
"17031824113","Census Tract 8241.13, Cook County, Illinois",7070
"17031824114","Census Tract 8241.14, Cook County, Illinois",5186
"17031824115","Census Tract 8241.15, Cook County, Illinois",4053
"17031824116","Census Tract 8241.16, Cook County, Illinois",5373
"17031824117","Census Tract 8241.17, Cook County, Illinois",9453
"17031824119","Census Tract 8241.19, Cook County, Illinois",5655
"17031824120","Census Tract 8241.20, Cook County, Illinois",8970
"17031824121","Census Tract 8241.21, Cook County, Illinois",3153
"17031824122","Census Tract 8241.22, Cook County, Illinois",6526
"17031824123","Census Tract 8241.23, Cook County, Illinois",7348
"17031825303","Census Tract 8253.03, Cook County, Illinois",4010
"17031825304","Census Tract 8253.04, Cook County, Illinois",4338
"17031830007","Census Tract 8300.07, Cook County, Illinois",4924
"17031830008","Census Tract 8300.08, Cook County, Illinois",4400
"17031830500","Census Tract 8305, Cook County, Illinois",3901
"17031830600","Census Tract 8306, Cook County, Illinois",4733
"17031830700","Census Tract 8307, Cook County, Illinois",3814
"17031830800","Census Tract 8308, Cook County, Illinois",2522
"17031830900","Census Tract 8309, Cook County, Illinois",2993
"17031831000","Census Tract 8310, Cook County, Illinois",2177
"17031831100","Census Tract 8311, Cook County, Illinois",8537
"17031811900","Census Tract 8119, Cook County, Illinois",5841
"17031191000","Census Tract 1910, Cook County, Illinois",2730
"17031805600","Census Tract 8056, Cook County, Illinois",4470
"17031806004","Census Tract 8060.04, Cook County, Illinois",7182
"17031802002","Census Tract 8020.02, Cook County, Illinois",5444
"17031802504","Census Tract 8025.04, Cook County, Illinois",6610
"17031802702","Census Tract 8027.02, Cook County, Illinois",4763
"17031803008","Census Tract 8030.08, Cook County, Illinois",4583
"17031803200","Census Tract 8032, Cook County, Illinois",5310
"17031803500","Census Tract 8035, Cook County, Illinois",5765
"17031804102","Census Tract 8041.02, Cook County, Illinois",7263
"17031824505","Census Tract 8245.05, Cook County, Illinois",6364
